Sample,KMeans_Cluster,DBSCAN_Cluster,GMM_Cluster,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,LD1,LD2,Ancestry_Q1,Ancestry_Q2,Ancestry_Q3
172,1,2,1,-37.738814,-3.350616,-1.952282,16.113179,-3.676681,7.311213,2.035205,11.394381,0.863985,1.685405,-13.797633,-36.171654,0.973148,0.026850,0.000003
173,1,2,1,-26.131673,-8.853596,2.038797,-16.130173,-4.995209,-6.569979,16.277939,12.704290,5.623476,2.493517,-13.337394,-22.689626,0.972369,0.027628,0.000004
174,1,2,1,-4.193363,-20.554079,-2.180949,-4.050334,1.896852,-17.372384,0.283900,-0.612473,4.236076,-15.579874,-17.540506,2.651938,0.903850,0.096125,0.000024
175,2,Noise,2,69.236666,9.278033,-4.150847,-14.792756,-42.117182,13.019316,39.940063,-1.631451,37.876269,39.236200,27.262355,66.006805,0.000358,0.999185,0.000457
176,1,2,1,-16.409646,-5.036753,-5.506789,16.308532,0.164268,-9.623235,-3.966215,-2.091049,4.500305,4.827050,-8.060139,-14.135842,0.967099,0.032879,0.000022
177,1,2,1,-45.113652,-6.548523,-1.656863,12.312287,-1.682607,1.082259,-6.722756,-0.114332,-0.955396,6.156240,-19.850373,-41.431271,0.966841,0.033158,0.000001
178,1,2,1,11.115677,-14.346966,2.233555,-1.749145,-6.806654,7.979687,22.695601,11.046565,6.551252,8.862291,-8.482470,13.998001,0.852258,0.147682,0.000060
179,1,2,1,-11.393064,7.494337,3.209304,-8.203275,-4.700191,1.501870,-20.905419,-7.752638,2.310466,2.532600,-1.154584,-11.867094,0.879905,0.119862,0.000233
18,1,2,1,5.361486,-11.262808,-4.652887,11.134628,-11.172533,-7.102968,10.451199,-9.607334,-5.289745,8.091158,-7.301850,9.122147,0.921815,0.078123,0.000062
180,1,2,1,-0.973006,1.178785,-1.314956,6.712426,-3.573794,-13.278431,-17.433626,-25.043721,-10.394398,9.839328,-1.452244,0.512075,0.946009,0.053903,0.000088
181,2,Noise,2,25.342128,-23.420516,-7.381322,16.635662,-4.725005,-19.260820,32.063301,-1.857918,8.712633,25.942714,-7.479936,30.776412,0.185121,0.814440,0.000440
182,1,2,1,-33.760675,5.736924,3.172168,-5.546179,-1.068519,6.718776,-17.776871,-7.831212,-3.649968,0.112798,-8.547507,-33.168081,0.914848,0.085124,0.000027
183,1,2,1,-5.639219,-6.904258,-2.623597,15.173410,0.564287,-17.664522,-15.960275,-24.577498,-9.922640,8.291358,-8.697822,-1.904622,0.968327,0.031651,0.000022
